Game Hit,Hit Created At,Hit ID,ExitSpeed (MPH),Angle,Direction,SpinRate,Distance (Feet),Spin Direction,ContactPositionX (Inches),ContactPositionY (Inches),Left Hand Total Spin,Left Hand Spin Direction,Right Hand Total Spin,Right Hand Spin Direction,Hitter First Name,Hitter Last Name,Device Serial Number,Flagged
58,01-20-2025 22:09,1737410999,105.4,33,-7,1379,428,11:6,0,0,2566.00000,11:12,2566.00000,0:6,Test,Player,MTD-211138B0950,false
57,01-20-2025 22:09,1737410989,72.8,-13,-23,455,10,4:46,0,0,2577.00000,7:54,2577.00000,6:48,Test,Player,MTD-211138B0950,false
56,01-20-2025 22:09,1737410968,96.1,24,7,2445,360,0:28,0,0,3172.00000,11:48,3172.00000,1:4,Test,Player,MTD-211138B0950,false
55,01-20-2025 22:09,1737410955,83.1,5,-18,2098,116,9:40,0,0,3443.00000,9:12,3443.00000,8:4,Test,Player,MTD-211138B0950,false
54,01-20-2025 22:09,1737410947,55.8,-6,5,0,14,0:0,0,0,1999.00000,6:22,1999.00000,4:30,Test,Player,MTD-211138B0950,false
53,01-20-2025 22:08,1737410936,78.6,5,-13,2167,120,10:12,0,0,1003.00000,9:12,1003.00000,7:42,Test,Player,MTD-211138B0950,false
52,01-20-2025 22:08,1737410925,70.4,7,-6,3022,139,0:26,0,0,1315.00000,9:16,1315.00000,3:14,Test,Player,MTD-211138B0950,false
51,01-20-2025 22:07,1737410825,79.3,5,-18,2876,144,11:58,0,0,2749.00000,9:12,2749.00000,8:2,Test,Player,MTD-211138B0950,false
50,01-20-2025 22:06,1737410813,87.2,22,-11,1616,323,11:52,0,0,2283.00000,10:34,2283.00000,11:40,Test,Player,MTD-211138B0950,false
49,01-20-2025 22:06,1737410779,96.3,37,3,0,367,0:0,0,0,3484.00000,11:42,3484.00000,0:32,Test,Player,MTD-211138B0950,false
48,01-20-2025 22:06,1737410769,35.8,-28,-1,1968,0,5:42,0,0,2049.00000,6:26,2049.00000,5:40,Test,Player,MTD-211138B0950,false
47,01-20-2025 22:05,1737410745,94.9,33,20,0,379,0:0,0,0,834.00000,0:42,834.00000,1:12,Test,Player,MTD-211138B0950,false
46,01-20-2025 22:05,1737410732,66.6,-16,-2,705,9,5:50,0,0,3181.00000,6:44,3181.00000,5:36,Test,Player,MTD-211138B0950,false
45,01-20-2025 22:05,1737410723,51.6,33,27,0,147,0:0,0,0,1444.00000,1:4,1444.00000,1:22,Test,Player,MTD-211138B0950,false
44,01-20-2025 22:05,1737410713,68.3,48,34,2969,218,11:44,0,0,3366.00000,0:58,3366.00000,1:10,Test,Player,MTD-211138B0950,false
43,01-20-2025 22:04,1737410699,82.7,24,-12,650,275,10:58,0,0,1303.00000,10:38,1303.00000,11:40,Test,Player,MTD-211138B0950,false
42,01-20-2025 22:04,1737410689,77.6,45,26,0,280,0:0,0,0,700.00000,0:42,700.00000,1:4,Test,Player,MTD-211138B0950,false
41,01-20-2025 22:03,1737410592,64.2,19,-8,2309,205,0:4,0,0,1368.00000,10:34,1368.00000,0:4,Test,Player,MTD-211138B0950,false
40,01-20-2025 22:03,1737410580,88.6,20,11,3273,307,10:16,0,0,1984.00000,0:18,1984.00000,1:30,Test,Player,MTD-211138B0950,false
39,01-20-2025 22:02,1737410572,75.2,41,25,0,262,0:0,0,0,2938.00000,0:46,2938.00000,1:8,Test,Player,MTD-211138B0950,false
38,01-20-2025 22:00,1737410453,91.0,38,6,3013,347,11:28,0,0,2977.00000,11:50,2977.00000,0:40,Test,Player,MTD-211138B0950,false
37,01-20-2025 22:00,1737410443,63.0,45,45,0,194,0:0,0,0,2952.00000,1:24,2952.00000,1:24,Test,Player,MTD-211138B0950,false
36,01-20-2025 22:00,1737410413,77.9,25,1,1679,288,0:48,0,0,879.00000,11:26,879.00000,0:46,Test,Player,MTD-211138B0950,false
35,01-20-2025 22:00,1737410402,79.9,38,19,3030,295,11:58,0,0,3116.00000,0:30,3116.00000,1:4,Test,Player,MTD-211138B0950,false
34,01-20-2025 21:59,1737410394,74.6,47,26,0,246,0:0,0,0,3124.00000,0:40,3124.00000,1:2,Test,Player,MTD-211138B0950,false
33,01-20-2025 21:59,1737410376,85.3,15,-7,991,219,9:12,0,0,1346.00000,10:18,1346.00000,0:22,Test,Player,MTD-211138B0950,false
32,01-20-2025 21:59,1737410360,63.9,50,34,0,202,0:0,0,0,1378.00000,0:54,1378.00000,1:8,Test,Player,MTD-211138B0950,false
31,01-20-2025 21:58,1737410335,91.5,31,9,2598,370,10:52,0,0,2699.00000,0:0,2699.00000,0:54,Test,Player,MTD-211138B0950,false
30,01-20-2025 21:58,1737410322,74.4,41,21,0,262,0:0,0,0,2979.00000,0:32,2979.00000,1:2,Test,Player,MTD-211138B0950,false
29,01-20-2025 21:56,1737410195,0.0,0,0,0,0,0:0,0,0,0.00000,0:0,0.00000,0:0,Test,Player,MTD-211138B0950,false
28,01-20-2025 21:56,1737410190,76.4,48,35,0,250,0:0,0,0,2681.00000,1:0,2681.00000,1:10,Test,Player,MTD-211138B0950,false
27,01-20-2025 21:56,1737410165,80.7,34,5,750,308,0:30,0,0,3170.00000,11:46,3170.00000,0:40,Test,Player,MTD-211138B0950,false
26,01-20-2025 21:55,1737410149,85.2,8,-12,1489,163,10:4,0,0,589.00000,9:24,589.00000,8:38,Test,Player,MTD-211138B0950,false
25,01-20-2025 21:55,1737410130,89.7,25,1,2117,352,11:34,0,0,1249.00000,11:22,1249.00000,0:44,Test,Player,MTD-211138B0950,false
24,01-20-2025 21:55,1737410116,53.4,-17,-1,0,6,0:0,0,0,2034.00000,6:38,2034.00000,5:34,Test,Player,MTD-211138B0950,false
23,01-20-2025 21:54,1737410098,85.4,21,-11,2976,290,11:6,0,0,2737.00000,10:32,2737.00000,11:44,Test,Player,MTD-211138B0950,false
22,01-20-2025 21:54,1737410077,86.3,26,-1,2157,346,0:2,0,0,1565.00000,11:14,1565.00000,0:30,Test,Player,MTD-211138B0950,false
21,01-20-2025 21:54,1737410062,75.6,38,26,0,268,0:0,0,0,2568.00000,0:50,2568.00000,1:12,Test,Player,MTD-211138B0950,false
20,01-20-2025 21:53,1737410039,81.5,27,2,1163,304,11:12,0,0,2531.00000,11:32,2531.00000,0:44,Test,Player,MTD-211138B0950,false
